Symbol,Price,Yield
MMM,222.89,2.3328617
AOS,60.24,1.1479592
ABT,56.27,1.9089824
ABBV,108.48,2.4995599
ACN,150.51,1.7144699
ATVI,65.83,0.43190324
AYI,145.41,0.35118526
ADBE,185.16,0
AAP,109.63,0.21832074
AMD,11.22,0
AES,10.06,4.961832
AET,178,1.101989
AMG,179.11,0.6387395
AFL,83.25,2.4299066
A,65.05,0.8756979
APD,152.8,2.7811136
AKAM,62.49,0
ALK,64.04,1.9928383
ALB,105.18,1.2004126
ARE,114.58,3.0262272
ALXN,108.47,0
ALGN,220.71,0
ALLE,77.32,0.8004002
AGN,164.2,1.643289
ADS,240.6,0.9240122
LNT,37.14,3.5733333
ALL,90.06,1.5278208
GOOGL,1007.71,0
GOOG,1001.52,0
MO,64.05,3.9526875
AMZN,1350.5,0
AEE,52.59,3.4404964
AAL,48.6,0.7782101
AEP,63.38,3.8479443
AXP,88.34,1.4955667
AIG,58.28,2.1167521
AMT,133.57,2
AWK,76.06,2.129297
AMP,152.5,2.0735743
ABC,91.55,1.6132456
AME,72.05,0.75512403
AMGN,173.12,2.9751508
APH,84.44,0.8608971
APC,56.2,1.7029973
ADI,82.68,2.108963
ANDV,96.9,2.3454583
ANSS,148.84,0
ANTM,230.57,1.2581781
AON,136.05,1.0245464
APA,37.73,2.528445
AIV,38.21,3.876562
AAPL,155.15,1.5795412
AMAT,45.75,0.8215239
APTV,89.27,0.9392678
ADM,41.35,3.1761081
ARNC,24.45,0.9561753
AJG,64.4,2.4807138
AIZ,85.16,2.5313594
T,35.57,5.4156513
ADSK,104.81,0
ADP,108.25,2.2190912
AZO,718.57,0
AVB,154.94,3.7149355
AVY,110.77,1.5682175
BHGE,27.5,2.4991322
BLL,38.44,1.0170354
BAC,29.74,1.536
BAX,62.56,0.97635394
BBT,51.07,2.4526198
BDX,211.44,1.3518385
BRK.B,191.42,0
BBY,68.79,1.9085041
BIIB,311.79,0
BLK,509.38,2.1643558
HRB,25.19,3.7296038
BA,329.66,1.9648397
BWA,51.94,1.2363636
BXP,112.09,2.7744062
BSX,25.2,0
BHF,55.44,0
BMY,62.69,2.5546863
AVGO,229.57,2.9488583
BF.B,63.33,1.1216964
CHRW,90.47,1.987685
CA,32.66,3
COG,23.01,1.0269576
CDNS,36.82,0
CPB,44.83,3.125
COF,91.8,1.6306564
CAH,66.63,2.8394227
KMX,64.34,0
CCL,66.76,2.6041667
CAT,145.99,2.0215108
CBOE,111.15,0.9426963
CBG,41.92,0
CBS,51.8,1.3473054
CELG,91.02,0
CNC,100.36,0
CNP,25.85,4.2109256
CTL,16.2,12.661196
CERN,61.22,0
CF,37.46,3.0395136
SCHW,48.9,0.76878726
CHTR,348.65,0
CHK,2.82,0
CVX,112.3,3.885853
CMG,266.01,0
CB,140.39,1.9251627
CHD,47.38,1.8366054
CI,189.27,0.020466639
XEC,100.19,0.30214334
CINF,70.34,2.918904
CTAS,149.32,1.0344827
CSCO,38.77,2.8755577
C,71.87,1.7068943
CFG,42.19,1.9625335
CTXS,84.53,0
CME,153.04,3.6828613
CMS,41.77,3.3918407
KO,43.1,3.3213644
CTSH,75.16,1.0454783
CL,68.95,2.2801766
CMCSA,38.19,1.8929017
CMA,89.18,1.2823253
CAG,35.49,2.3683476
CXO,140.09,0
COP,53.24,2.049254
ED,74.73,3.8001595
STZ,208.73,0.9712818
GLW,28.45,2.0791416
COST,178.61,1.0917627
COTY,19.96,2.860412
CCI,103.81,3.862069
CSRA,30.85,1.275917
CSX,50.47,1.5102888
CMI,165.73,2.5008683
CVS,70.55,2.6899798
DHI,44.55,1.0801469
DHR,92.16,0.5879265
DRI,91.33,2.6503997
DVA,71.91,0
DE,153.66,1.4866204
DAL,51.23,2.2655525
XRAY,56.85,0.60034305
DVN,34.94,0.6528836
DLR,98.96,3.5710857
DFS,72.4,1.8269607
DISCA,22.87,0
DISCK,21.58,0
DISH,43.77,0
DG,95.1,1.0625255
DLTR,101.58,0
D,73.31,4.5281997
DOV,96.2,1.8815053
DWDP,68.21,2.1529746
DPS,116.93,1.9661016
DTE,98.49,3.5559585
DUK,74.32,4.7849464
DRE,24.52,3.1533308
DXC,91.92,0.7493755
ETFC,48.48,0
EMN,93.57,2.2630835
ETN,79.41,2.9404557
EBAY,41.02,0
ECL,127.76,1.2319711
EIX,58.07,4.0542803
EW,123.78,0
EA,116.54,0
EMR,66.4,2.813225
ETR,72.02,4.892126
EVHC,35.34,0
EOG,101.04,0.63339007
EQT,46.25,0.2518363
EFX,114,1.3265306
EQIX,409.98,1.8775817
EQR,55.26,3.5437918
ESS,218.28,3.2138102
EL,131.46,1.1283498
RE,241.06,2.1078234
ES,56.11,3.3397784
EXC,35.98,3.8174274
EXPE,123.03,0.92785895
EXPD,60.36,1.3520038
ESRX,73.35,0
EXR,77.56,3.879632
XOM,76.07,4.0031195
FFIV,137.25,0
FB,171.58,0
FAST,52.15,2.7798648
FRT,108.11,3.5925992
FDX,239.27,0.7963368
FIS,92.74,1.322724
FITB,31.1,1.9789734
FE,30.64,4.673807
